ds,y,yhat,yhat_lower,yhat_upper
2018-10-21 06:00:00,0.04,0.45410502032954253,0.0,1.5333995060411438
2018-10-21 07:00:00,0.04,0.6186849630894043,0.0,1.6441074380660645
2018-10-21 08:00:00,0.0,0.6334506623659506,0.0,1.594294968315943
2018-10-21 09:00:00,0.0,0.5089846362035905,0.0,1.5695369005553734
2018-10-21 10:00:00,0.04,0.3595752771122798,0.0,1.4325930929623656
2018-10-21 11:00:00,0.04,0.2928985436952256,0.0,1.27707287825974
2018-10-21 12:00:00,0.0,0.3163875033879794,0.0,1.3099445114548833
2018-10-21 13:00:00,0.04,0.34979731952356785,0.0,1.420704848623061
2018-10-21 14:00:00,0.08,0.32548369918279274,0.0,1.2572134263160444
2018-10-21 15:00:00,0.12,0.27018894986822617,0.0,1.2966720189373961
2018-10-21 16:00:00,0.12,0.28236789814915775,0.0,1.3521351007716296
2018-10-21 17:00:00,0.08,0.42646231082385183,0.0,1.4606256240045143
2018-10-21 18:00:00,0.12,0.6517544805819957,0.0,1.6929374295486765
2018-10-21 19:00:00,0.12,0.821354384793582,0.0,1.7640770734749234
2018-10-21 20:00:00,0.04,0.8279381072338112,0.0,1.8103402907115793
2018-10-21 21:00:00,0.0,0.6857907608472592,0.0,1.7170471292168896
2018-10-21 22:00:00,0.04,0.5107942277789266,0.0,1.4960334736438379
2018-10-21 23:00:00,0.04,0.4096483380283339,0.0,1.4574330493553738
2018-10-22 00:00:00,0.0,0.38777936578585065,0.0,1.430162220029736
2018-10-22 01:00:00,0.0,0.3644767528719003,0.0,1.4020886976597733
2018-10-22 02:00:00,0.04,0.2751751343908573,0.0,1.2445424514374281
2018-10-22 03:00:00,0.04,0.15338485717575762,0.0,1.158210288671484
2018-10-22 04:00:00,0.0,0.10608648292165435,0.0,1.0871146443293087
2018-10-22 05:00:00,0.04,0.20499132690955202,0.0,1.2296098847931682
2018-10-22 06:00:00,0.04,0.4029297490433841,0.0,1.3810180893684063
2018-10-22 07:00:00,0.0,0.5622440121883414,0.0,1.5687507791832562
2018-10-22 08:00:00,0.04,0.5720507997555575,0.0,1.551848908774231
2018-10-22 09:00:00,0.0,0.4429609652996758,0.0,1.546784867269172
2018-10-22 10:00:00,0.0,0.28928873431080054,0.0,1.2590252556794643
2018-10-22 11:00:00,0.04,0.21873318088796212,0.0,1.2724894561570606
2018-10-22 12:00:00,0.0,0.2387475811908237,0.0,1.1955803542510106
2018-10-22 13:00:00,0.04,0.26910423906434977,0.0,1.235325963434859
2018-10-22 14:00:00,0.12,0.24217280166062818,0.0,1.2135867161804894
2018-10-22 15:00:00,0.04,0.1847062145539623,0.0,1.1547082828860602
2018-10-22 16:00:00,0.04,0.19516657034322937,0.0,1.1611995199648522
2018-10-22 17:00:00,0.0,0.33799949201254126,0.0,1.3419728287489439
2018-10-22 18:00:00,0.0,0.562487713126645,0.0,1.5816424793582378
2018-10-22 19:00:00,0.04,0.7317382636123919,0.0,1.7148366991684134
2018-10-22 20:00:00,0.04,0.7384209503346271,0.0,1.776911011100367
2018-10-22 21:00:00,0.0,0.596811369776781,0.0,1.641268288053449
2018-10-22 22:00:00,0.04,0.4227787680871579,0.0,1.4787547544539519
2018-10-22 23:00:00,0.04,0.32300736822404097,0.0,1.4080577801597536
2018-10-23 00:00:00,0.0,0.3029050416247694,0.0,1.4408790365156428
2018-10-23 01:00:00,0.04,0.2817402317576464,0.0,1.2798537182601548
2018-10-23 02:00:00,0.04,0.19492420237996633,0.0,1.2825861581829603
2018-10-23 03:00:00,0.0,0.07594179856894029,0.0,1.0116038230262094
2018-10-23 04:00:00,0.04,0.03174620969974584,0.0,1.0395841813789766
2018-10-23 05:00:00,0.04,0.1340197824039182,0.0,1.1491001857151593
2018-10-23 06:00:00,0.0,0.3355625971990561,0.0,1.4078094476798073
2018-10-23 07:00:00,0.04,0.4986856206694677,0.0,1.4754608983903628
2018-10-23 08:00:00,0.0,0.512473521959639,0.0,1.5881126308859612
2018-10-23 09:00:00,0.08,0.38750472314607176,0.0,1.413481979194265
2018-10-23 10:00:00,0.08,0.2380609004684953,0.0,1.3118383378124883
2018-10-23 11:00:00,0.04,0.17180875598139733,0.0,1.229321491314465
2018-10-23 12:00:00,0.08,0.19616965846043005,0.0,1.1788856832744161
2018-10-23 13:00:00,0.08,0.23088474601019085,0.0,1.2241236926992518
2018-10-23 14:00:00,0.04,0.20829350542937353,0.0,1.2003169980418404
2018-10-23 15:00:00,0.08,0.15511997519818305,0.0,1.1998849899097481
2018-10-23 16:00:00,0.08,0.16979882375714928,0.0,1.2065820281106154
2018-10-23 17:00:00,0.04,0.31674994208684,0.0,1.4392207266917423
2018-10-23 18:00:00,0.08,0.5452322109549823,0.0,1.5618858883993796
2018-10-23 19:00:00,0.08,0.7183308497471041,0.0,1.723032701339748
2018-10-23 20:00:00,0.04,0.7286960349535255,0.0,1.7751553151040642
2018-10-23 21:00:00,0.08,0.5905860246256288,0.0,1.6411369504206017
2018-10-23 22:00:00,0.08,0.4198551032218605,0.0,1.4561650763972003
2018-10-23 23:00:00,0.04,0.32317496639725996,0.0,1.3045222086128918
2018-10-24 00:00:00,0.08,0.30594342302987754,0.0,1.3552144385770852
2018-10-24 01:00:00,0.08,0.28742132210326143,0.0,1.2752827706557168
2018-10-24 02:00:00,0.04,0.2030147779662238,0.0,1.2356211431198565
2018-10-24 03:00:00,0.08,0.08620588287037262,0.0,1.0922397287867265
2018-10-24 04:00:00,0.08,0.04394739710557466,0.0,1.1121980483373393
2018-10-24 05:00:00,0.04,0.14792346631925662,0.0,1.1782732121868096
2018-10-24 06:00:00,0.08,0.3509380813241201,0.0,1.3396645132110514
2018-10-24 07:00:00,0.04,0.5153080942640803,0.0,1.5586122035354648
2018-10-24 08:00:00,0.04,0.5301258820049966,0.0,1.5907278969183292
2018-10-24 09:00:00,0.08,0.4059792285249758,0.0,1.4193884572300988
2018-10-24 10:00:00,0.04,0.25716064589271204,0.0,1.2611005505946888
2018-10-24 11:00:00,0.08,0.1913489557426873,0.0,1.236945312051658
2018-10-24 12:00:00,0.04,0.2159787328004403,0.0,1.218946952469181
2018-10-24 13:00:00,0.04,0.25080520551494034,0.0,1.2448448917218389
2018-10-24 14:00:00,0.12,0.2281826314948768,0.0,1.327765923554759
2018-10-24 15:00:00,0.08,0.17485029724083218,0.0,1.1425253858593452
2018-10-24 16:00:00,0.12,0.18925839639416409,0.0,1.2193640158485164
2018-10-24 17:00:00,0.12,0.33584242797490216,0.0,1.3554927144141533
2018-10-24 18:00:00,0.08,0.5638767773116808,0.0,1.6685903225353136
2018-10-24 19:00:00,0.12,0.7364618887580481,0.0,1.780679103233914
2018-10-24 20:00:00,0.12,0.7462627202722121,0.0,1.8098368227467363
2018-10-24 21:00:00,0.12,0.6075517179596499,0.0,1.5731889219650157
2018-10-24 22:00:00,0.08,0.43619662658280967,0.0,1.4031201279440346
2018-10-24 23:00:00,0.12,0.3388817569180685,0.0,1.3461652544859237
